rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,source,year
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,113,44,3093829.4162202687,272046.974397546,31821.04325710371,4947.283545325165,0,558.7607180056325,79.29943315955701,682.3278260224105,100.20490311620408,123.56710801677804,35.31043479214305,0,21.569009661902747,5.0249532850888174,10.436157817161922,90.22851774108604,14.228012852515155,115.15087845823999,20.126809084163927,24.922360717153957,7.974273469505867,0,10.436157817161922,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,194.8,36.2,4528349.023083432,325001.9179226426,10215.328992390896,2287.826833869663,0,172.7883444549962,34.71082050760848,209.51393896932112,43.90955518422926,36.72559451432489,15.23241822827911,0,6.805734724466806,2.814949614253631,1.8541826314488636,34.172973244769516,7.527992368718832,41.97927982304557,9.49404306973404,7.8063065782760575,3.3307051918893125,0,1.8541826314488636,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,136,22.4,2898963.4934423845,219662.1003280522,22336.80733661228,8275.76241614168,0,359.00979965679414,94.7255845524007,484.9825029439982,149.87310459883844,125.97270328720401,64.892932008914,0,42.23993062853065,11.76254685333335,9.714055095695906,63.80841442033224,17.76759853260074,88.70293000768305,30.06191509635867,24.894515587350803,13.737229718623798,0,9.714055095695906,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,660.2,133.6,29523341.553030204,897427.0466673671,11388.390687145675,2171.2727565285854,0,199.22920933250236,19.441139870931533,226.50047721922698,24.898467096852304,27.27126788672464,8.722494626423522,0,10.0584767267745,2.2305178562148953,2.3862270573688313,35.47970347266378,3.6956008768835824,40.48273823539252,4.981944067885683,5.003034762728735,1.8413841186545605,0,2.3862270573688313,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,208,76.6,5078161.428618885,374457.27287024696,21661.453977420537,3100.5443442120145,0,365.1537123651494,39.40493757989894,365.1537123651494,39.40493757989894,0,0,0,8.212866499929392,3.0292326134686256,0,67.4196969522286,7.9742571992376385,67.4196969522286,7.9742571992376385,0,0,0,0,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,179.2,39,4932175.192443173,372187.89534313494,7089.738032948385,1117.4280182910045,0,149.77343646637755,27.23053282999894,149.77343646637755,27.23053282999894,0,0,0,1.9562453543960918,1.1225490049213385,0,26.97986324690856,4.3227834611953115,26.97986324690856,4.3227834611953115,0,0,0,0,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,102.2,28.6,2681615.0276952083,295029.24440823664,8687.46454114251,1983.624214224391,0,188.049880426129,33.313651835715824,188.049880426129,33.313651835715824,0,0,0,1.1638844435405653,0.8398060201548083,0,34.848743576432696,6.549975633115539,34.848743576432696,6.549975633115539,0,0,0,0,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,480.6,78.2,22627405.510380115,715324.4999158481,5697.736717849935,699.9934665302238,0,104.09421134645159,10.763435806756483,104.09421134645159,10.763435806756483,0,0,0,2.2469726997405974,1.2132460030631167,0,19.263575294780868,2.0745309597142216,19.263575294780868,2.0745309597142216,0,0,0,0,SCF,2022
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,113,44,3093829.4162202687,272046.974397546,31821.04325710371,4947.283545325165,0,725.7230212888376,92.67533664066443,1095.5445508726277,159.66890828006464,369.8215295837901,75.35170549659327,0,42.35182531572953,5.760095854572419,21.475801116922007,113.28687554333821,16.0987199554889,179.3343385850946,28.904749391168618,66.04746304175639,13.878157386215003,0,21.475801116922007,SCF,2022
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,194.8,36.2,4528349.023083432,325001.9179226426,10215.328992390896,2287.826833869663,0,278.6997084768031,49.41770809763578,378.02670424885866,81.7918869874548,99.32699577205558,35.70191313679709,0,19.41399806174213,6.405541708260465,5.944202113800053,55.64013977624909,10.832256975840508,76.80364347988386,17.906556543846715,21.16350370363477,7.803345567121287,0,5.944202113800053,SCF,2022
