rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,22,5,179152.7518589,42534.86061031267,182042.21724143266,64640.823931495244,12378.870772417418,4395.576027341678,2171.6322208599076,322.58958921267924,2171.6322208599076,322.58958921267924,294.88694104448484,55.12208734553316,100,0,100,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,11,5,138016.35628190002,48246.65750071172,137127.18256421693,79247.30550156589,9324.648414366751,5388.816774106483,1996.6024294502902,364.0944960450615,1996.6024294502902,364.0944960450615,288.9359245997526,78.95851453258047,100,0,100,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Married household,46,6,411926.57336970017,63533.491621929184,149582.12816976692,60665.5043159085,10171.58471554415,4125.2542934817775,1828.3118120536683,384.94927304623116,1828.3118120536683,384.94927304623116,219.39741744644016,46.19391276554777,100,0,100,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Married household,294,37,2219679.057253399,139405.07705899372,61641.94512738833,14027.55129934662,4191.652268662408,953.8734883555702,1746.338217234267,139.7313718901586,1722.6522855488324,143.75721465741805,220.16358168895678,18.53647488052615,100,0,97.02931665238398,2.9479937116996235,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Unmarried household,9,5,63105.793783500005,21973.152378985847,63036.212968093016,26751.010053027443,4286.4624818303255,1819.0686836058658,1995.13771878379,366.6730404526075,1584.0525865154452,495.93043008977617,317.02884016739375,108.42106707012246,100,0,54.86492710958508,23.927642416387954,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Unmarried household,7,2,92350.8786576,40875.609316280716,28606.3800491937,1390.6106275986704,1945.233843345172,94.56152267670943,1945.233843345172,94.56152267670943,1945.233843345172,94.56152267670943,233.4280612014206,11.347382721205129,100,0,100,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Unmarried household,17,2,117166.3044449,34699.16759662688,6557.697625711218,983.4261039981403,445.92343854836287,66.87297507187354,445.92343854836287,66.87297507187354,445.92343854836287,66.87297507187354,77.96377096118154,28.443986038204535,100,0,100,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Unmarried household,97,16,821443.1532370002,96613.96985288053,62829.63743314743,10392.709560848416,4272.415345454026,706.7042501376924,1983.7986029730139,164.68922657886424,1983.7986029730139,164.68922657886424,285.4595120817269,32.976314020326846,100,0,100,0,2022,SIPP
