rate_scenario_id,rate_scenario,annual_interest_rate,household_group,black_nonblack,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black,4,0,27992.7416104,13811.858602308102,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Non-Black,231,29,1590708.6427675998,111460.52803155051,9878.436327424944,3392.040174803732,0,155.94352363329412,30.099455395620648,206.91991174096404,47.78892941560177,50.9763881076699,23.77577025826076,0,17.440898045275304,6.6295717016533375,2.3680483448283716,18.713222835995296,3.611934647474477,24.83038940891569,5.7346715298722115,6.117166572920388,2.853092430991292,0,2.3680483448283716,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black,6,1,46378.075284599996,21111.95653980542,11736.101785054801,8689.03121411255,0,322.74279908900706,238.9483583880952,322.74279908900706,238.9483583880952,0,0,0,0,0,0,38.729135890680844,28.67380300657143,38.729135890680844,28.67380300657143,0,0,0,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Non-Black,81,12,639460.5325461999,76121.30420795114,6382.799283977929,2304.5165519373777,0,168.6419297485351,61.52662279669179,168.6419297485351,61.52662279669179,0,0,0,2.8272358872112533,2.9690365380192314,0,22.358304792230815,7.779339905820583,22.358304792230815,7.779339905820583,0,0,0,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black,4,0,27992.7416104,13811.858602308102,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Non-Black,231,29,1590708.6427675998,111460.52803155051,9878.436327424944,3392.040174803732,0,240.7727578339047,46.21105307118727,344.94016699419205,66.02994687302056,104.1674091602874,26.37202564169774,0,41.56468359703098,8.814712362335056,5.643469730730284,28.89273094006856,5.54532636854247,41.39282003930305,7.923593624762469,12.500089099234486,3.164643077003729,0,5.643469730730284,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Black,6,1,46378.075284599996,21111.95653980542,11736.101785054801,8689.03121411255,0,798.0549213837265,590.8541225596538,798.0549213837265,590.8541225596538,0,0,0,0,0,0,95.766590566047185,70.90249470715841,95.766590566047185,70.90249470715841,0,0,0,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Non-Black,81,12,639460.5325461999,76121.30420795114,6382.799283977929,2304.5165519373777,0,295.01351320271584,101.269701048233,295.01351320271584,101.269701048233,0,0,0,30.1868400427386,16.448622595477556,0,38.55627096415683,12.368204332355955,38.55627096415683,12.368204332355955,0,0,0,0,2019,SIPP
