rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,9,2,77740.7902316,28261.43022321148,67715.45683458049,34481.85378113312,1862.175062950963,948.250978981161,1479.9933840867914,685.8151952774631,1479.9933840867914,685.8151952774631,177.59920609041498,82.29782343329556,100,0,100,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,3,0,21426.2706954,12217.31191414557,,,,,,,,,,,,,,,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,20,3,209499.5099441,55369.602903025676,99672.78523704613,44752.10558850778,2741.0015940187686,1230.6829036839642,1833.9089417275734,434.25466476989914,1833.9089417275734,434.25466476989914,220.06907300730882,52.110559772387916,100,0,100,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,203,24,1310034.8135068996,93753.3573720452,69686.11094237253,26477.390372267273,1916.3680509152443,728.1282352373499,1030.7412342512146,185.4025188205619,1030.7412342512146,185.4025188205619,123.68894811014576,22.248302258467437,100,0,100,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,6,1,46378.075284599996,21111.95653980542,35000,0,962.5,1.1556608631794085e-13,962.5,1.1556608631794085e-13,962.5,1.1556608631794085e-13,115.5,1.2972676148241318e-14,100,0,100,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,5,2,53688.5716512,24949.2651514507,65558.65774547945,22315.899617443247,1802.863088000685,613.6872394796894,1802.863088000685,613.6872394796894,1802.863088000685,613.6872394796894,216.34357056008216,73.64246873756271,100,0,100,0,2019,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,76,10,585771.960895,68376.0487632386,26584.719245659107,8131.560186084409,731.0797792556255,223.61790511732121,691.5276370583355,205.5802104798137,691.5276370583355,205.5802104798137,95.16926909764778,27.26412971980403,100,0,100,0,2019,SIPP
