rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,13,1,99219.61999479998,30467.456988437367,20000,9.393220889147818e-13,550,0,550,0,550,0,66,0,100,0,100,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,12,5,75691.3852247,26315.96995431486,77056.94018067009,23864.688751405734,2119.0658549684276,656.2789406636577,1751.7530884619887,415.4937620420311,1751.7530884619887,415.4937620420311,210.21037061543865,49.85925144504375,100,0,100,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,34,5,264304.5302346,50402.823151317294,142387.67112348002,84392.54562553592,3915.6609558956998,2320.7950047022387,1445.5684979209166,560.0644419581765,1434.318475305352,567.2544211893908,174.54547957318002,66.52913441393679,100,0,78.4711224357926,20.55444183706742,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,231,34,1409708.3556016998,98603.76781600712,66505.01733414066,16479.727228509368,1828.8879766888683,453.1924987840077,1130.9318518927985,184.80940527191723,1130.1389689176135,184.95371974013025,140.0514835039614,21.01225975563959,100,0,96.11252473862228,3.786684845113968,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,9,4,70009.52464440001,16747.706112898333,68557.0547970716,41516.60434030048,1885.3190069194688,1141.7066193582632,1203.7208940356536,652.3473998887451,1203.7208940356536,652.3473998887451,154.65936176877665,74.01934858964694,100,0,100,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,8,3,76228.673645,28821.70481537033,52087.61062552734,24528.658217542023,1432.4092922020018,674.5381009824057,1432.4092922020018,674.5381009824057,1432.4092922020018,674.5381009824057,182.61939474143247,75.22189148447877,100,0,100,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,12,0,99716.59028759999,30425.078475139097,,,,,,,,,,,,,,,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,96,13,635319.2959115,73478.77318384936,38511.61394049502,9677.758900751209,1059.069383363613,266.13836977065813,1011.2915105075136,240.86834657438968,990.3241501438752,246.0314570976258,182.72037028026375,49.50678117069387,100,0,92.11775594160372,8.063182297424245,2020,SIPP
