rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,9,2,77740.7902316,28261.43022321148,67715.45683458049,34481.85378113312,4604.651064751473,2344.766057117053,1838.1009699832553,445.03673352989557,1838.1009699832553,445.03673352989557,220.57211639799064,53.40440802358746,100,0,100,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,3,0,21426.2706954,12217.31191414557,,,,,,,,,,,,,,,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Married household,20,3,209499.5099441,55369.602903025676,99672.78523704613,44752.10558850778,6777.749396119136,3043.1431800185296,2500,5.316202052426944e-13,2500,5.316202052426944e-13,300,6.355287432313019e-14,100,0,100,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Married household,203,24,1310034.8135068996,93753.3573720452,69686.11094237253,26477.390372267273,4738.655544081333,1800.462545314175,1673.129189956393,180.67349865860533,1673.129189956393,180.67349865860533,200.77550279476714,21.680819839032633,100,0,100,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Unmarried household,6,1,46378.075284599996,21111.95653980542,35000,0,2380,1.016845989170083e-13,2380,1.016845989170083e-13,2380,1.016845989170083e-13,285.59999999999997,1.0378140918593053e-14,100,0,100,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Unmarried household,5,2,53688.5716512,24949.2651514507,65558.65774547945,22315.899617443247,4457.9887266926025,1517.481173986141,2178.5593170163056,293.4878919384961,2178.5593170163056,293.4878919384961,261.42711804195665,35.21854703261952,100,0,100,0,2019,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Unmarried household,76,10,585771.960895,68376.0487632386,26584.719245659107,8131.560186084409,1807.7609087048193,552.9460926537399,1359.7092164706721,364.2455531448716,1359.7092164706721,364.2455531448716,181.28743343809873,40.85823890212501,100,0,100,0,2019,SIPP
