rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,12,5,75691.3852247,26315.96995431486,35392.77408720482,20908.55080343294,0,804.592048050867,429.2477746497891,973.3012873981326,574.9851470944058,168.70923934726565,151.55380054037386,0,45.91409581330485,30.13191883753326,21.088654918408206,96.55104576610402,51.509732957974684,116.79615448777592,68.9982176513287,20.24510872167188,18.18645606484486,0,21.088654918408206,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,13,1,99219.61999479998,30467.456988437367,2354.054542158508,2570.5876100638006,0,64.73649990935897,70.69115927675449,64.73649990935897,70.69115927675449,0,0,0,0,0,0,7.768379989123075,8.482939113210543,7.768379989123075,8.482939113210543,0,0,0,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,34,5,264304.5302346,50402.823151317294,18676.451559389487,15826.139415833393,0,188.13412224115234,123.73004779028949,307.3367244422387,236.6132475851869,119.20260220108625,116.69028043523053,0,36.35161821890778,26.778765300121552,4.76810408804345,22.894469503134815,14.845857984152225,37.19878176726517,28.387237917473882,14.304312264130349,14.002833652227663,0,4.76810408804345,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,231,34,1409708.3556016998,98603.76781600712,10266.418868187488,3165.9925188579537,0,174.46022118715473,40.725674645421314,239.06359678290556,66.60612875498991,64.60337559575092,29.912287753412638,0,20.42015401983051,7.597714292271731,3.1522712559742745,21.619830358642773,4.758814148374852,29.372235430132882,7.907847339545748,7.752405071490109,3.5894745304095177,0,3.1522712559742745,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,8,3,76228.673645,28821.70481537033,26971.21174270564,18964.48417506314,2000,741.708322924405,521.5233148142365,741.708322924405,521.5233148142365,0,0,0,0,0,0,94.56118844280456,61.645537596154874,94.56118844280456,61.645537596154874,0,0,0,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,9,4,70009.52464440001,16747.706112898333,32427.58659710446,31414.84531264429,0,569.3617330211285,517.8290739496954,569.3617330211285,517.8290739496954,0,0,0,40.57131624308424,29.20719738502465,0,73.15410298261727,62.28586707161094,73.15410298261727,62.28586707161094,0,0,0,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,12,0,99716.59028759999,30425.078475139097,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,96,13,635319.2959115,73478.77318384936,5618.783251126395,1886.9822288814687,0,144.48671916508266,48.12360231125711,144.48671916508266,48.12360231125711,0,0,0,14.431116275771766,9.813172579819417,0,26.658611549146684,9.548902205843472,26.658611549146684,9.548902205843472,0,0,0,0,2020,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,12,5,75691.3852247,26315.96995431486,35392.77408720482,20908.55080343294,0,1141.4407225019106,441.90169686522194,1740.3071425082287,852.0605590244203,598.866420006318,457.6824669648722,0,92.09470586041442,9.452841769135853,42.29972162796668,136.97288670022925,53.02820362382663,208.8368571009874,102.24726708293049,71.86397040075815,54.92189603578471,0,42.29972162796668,2020,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,13,1,99219.61999479998,30467.456988437367,2354.054542158508,2570.5876100638006,0,160.07570886677854,174.7999574843385,160.07570886677854,174.7999574843385,0,0,0,0,0,0,19.209085064013422,20.97599489812062,19.209085064013422,20.97599489812062,0,0,0,0,2020,SIPP
