rate_scenario_id,rate_scenario,annual_interest_rate,household_group,black_nonblack,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black,12,5,75691.3852247,26315.96995431486,35392.77408720482,20908.55080343294,0,804.592048050867,429.2477746497891,973.3012873981326,574.9851470944058,168.70923934726565,151.55380054037386,0,45.91409581330485,30.13191883753326,21.088654918408206,96.55104576610402,51.509732957974684,116.79615448777592,68.9982176513287,20.24510872167188,18.18645606484486,0,21.088654918408206,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Non-Black,278,40,1773232.5058311005,112264.39874442919,11077.225095396196,3432.6199435952126,0,170.35885720294408,37.10648777198851,239.48555421070836,63.20649462747529,69.12669700776424,29.27150685910137,0,21.60908265233335,7.395601056696033,3.216732504628079,21.03477299119352,4.362871162762125,29.329976632125224,7.5275289772461065,8.295203640931707,3.5125808230921627,0,3.216732504628079,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black,8,3,76228.673645,28821.70481537033,26971.21174270564,18964.48417506314,2000,741.708322924405,521.5233148142365,741.708322924405,521.5233148142365,0,0,0,0,0,0,94.56118844280456,61.645537596154874,94.56118844280456,61.645537596154874,0,0,0,0,2020,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Non-Black,117,17,805045.4108434997,83517.84185027404,7254.201146112285,2947.7674548536515,0,163.53853235446587,56.88220944362567,163.53853235446587,56.88220944362567,0,0,0,21.311692347112615,11.297948421354798,0,27.399962782063074,9.1609527233757,27.399962782063074,9.1609527233757,0,0,0,0,2020,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black,12,5,75691.3852247,26315.96995431486,35392.77408720482,20908.55080343294,0,1141.4407225019106,441.90169686522194,1740.3071425082287,852.0605590244203,598.866420006318,457.6824669648722,0,92.09470586041442,9.452841769135853,42.29972162796668,136.97288670022925,53.02820362382663,208.8368571009874,102.24726708293049,71.86397040075815,54.92189603578471,0,42.29972162796668,2020,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Non-Black,278,40,1773232.5058311005,112264.39874442919,11077.225095396196,3432.6199435952126,0,235.23838392249712,41.520292823385404,373.8645925276729,77.04106279434431,138.62620860517583,38.56290108183941,0,42.292898283423774,8.749106880287927,6.295729569460839,29.691743838886364,4.9142120851524105,46.32688887150748,9.03478661991519,16.6351450326211,4.6275481298207275,0,6.295729569460839,2020,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Black,8,3,76228.673645,28821.70481537033,26971.21174270564,18964.48417506314,2000,840.4812540620087,512.6648263175825,840.4812540620087,512.6648263175825,0,0,0,53.0053865237122,30.316883889259692,0,114.59669227098887,62.24580742186009,114.59669227098887,62.24580742186009,0,0,0,0,2020,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Non-Black,117,17,805045.4108434997,83517.84185027404,7254.201146112285,2947.7674548536515,0,235.30513756431523,67.12734967288412,235.30513756431523,67.12734967288412,0,0,0,40.81703709768815,12.618658451021556,0,40.25796818289787,11.272590680407916,40.25796818289787,11.272590680407916,0,0,0,0,2020,SIPP
