source,year,rate_scenario_id,rate_scenario,annual_interest_rate,household_group,black_nonblack,weighted_population,mean_deduction_gain,mean_tax_savings_gain,total_tax_savings_gain,total_tax_savings_all_groups,tax_relief_share,population_share,tax_relief_to_population_ratio,SE: weighted population,SE: mean deduction gain,SE: mean tax savings gain,SE: total tax savings gain,SE: tax relief share,SE: tax relief to population ratio,n_obs,n_positive_student_debt,lower_95_mean_deduction_gain,upper_95_mean_deduction_gain,lower_95_mean_tax_savings_gain,upper_95_mean_tax_savings_gain,lower_95_tax_relief_to_population_ratio,upper_95_tax_relief_to_population_ratio
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black,398197.29218036274,1257.9449818046262,238.4359745575658,95387266.8261917,,0.2666252796329823,0.14447486849786106,1.8454786109525316,86609.27460013921,213.7436507083805,44.43386474540246,27963994.004363794,0.08174226634857991,0.5657888267937071,59,59,839.0074264162004,1676.882537193052,151.34559965657698,325.5263494585546,0.7365325104368656,2.9544247114681976
SCF,2022,R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Non-Black,1117441.6371919834,1308.6391791341846,233.49684389195454,261388777.04522893,,0.7333747203670176,0.8555251315021389,0.8572217149008253,204511.7662719418,164.55663000002465,38.13478060395491,72315927.15468998,0.08174226634857991,0.09554630640137482,150,150,986.1081843341362,1631.170173934233,158.75267390820292,308.24101387570613,0.6699509543541307,1.04449247544752
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black,793618.0986521717,2082.1318705987674,326.4000329886743,259194450.96792498,,0.2114534504306785,0.14447486849786106,1.4636002277019484,144531.50387053553,107.22480543993265,30.560398916322796,49905074.42137367,0.037733731036233994,0.26117851103489786,119,119,1871.9712519364994,2292.2924892610354,266.5016511126816,386.298414864667,0.9516903460735486,1.9755101093303482
SCF,2022,R680,Estimated interest at 6.8% annual rate,0.068,Married household,Non-Black,3135162.7293769764,1733.6649721143701,308.012929049433,965997676.4941227,,0.7885465495693217,0.8555251315021389,0.9217105617748298,365882.0117030152,88.01264666600157,19.765875374784827,133913435.95348102,0.03773373103623399,0.04410592938395717,364,364,1561.160184649007,1906.1697595797332,269.27181331485474,346.7540447840113,0.8352629401822738,1.0081581833673858
