rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,source,year
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,113,44,3093829.4162202687,272046.974397546,31821.04325710371,4947.283545325165,0,625.0332858283614,83.46489629309323,775.8225974031116,105.25722326515745,150.7893115747502,37.29210309956433,0,26.374384819261955,5.0561165759773825,12.63861395968785,98.18122587981351,14.247640157774446,126.45080495307225,19.902317993423956,28.269579073258754,7.861140843444272,0,12.63861395968785,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,194.8,36.2,4528349.023083432,325001.9179226426,10215.328992390896,2287.826833869663,0,183.87304465280857,34.08856513097224,230.47842369603333,45.08105772567308,46.605379043224765,16.80269828443303,0,8.344896563588582,2.9131857313933636,2.249374012604859,35.503137268507,7.4003297667417325,44.49501799025104,9.530931450652437,8.991880721744042,3.448084502492992,0,2.249374012604859,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,136,22.4,2898963.4934423845,219662.1003280522,22336.80733661228,8275.76241614168,0,359.0869323196098,94.7255845524007,485.0596356068138,149.87310459883844,125.97270328720401,64.892932008914,0,42.23993062853065,11.76254685333335,9.714055095695906,63.81767033987011,17.76759853260074,88.71218592722093,30.06191509635867,24.894515587350803,13.737229718623798,0,9.714055095695906,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,660.2,133.6,29523341.553030204,897427.0466673671,11388.390687145675,2171.2727565285854,0,212.00039312884172,20.659318781547455,245.17920103044216,26.590434232852957,33.178807901600436,9.134944097429882,0,11.766799824439827,2.431458986923804,2.7675388443889397,37.012245528224504,3.8046893999279434,42.72418509273833,5.120059680978194,5.7119395645138304,1.8675770743554059,0,2.7675388443889397,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,208,76.6,5078161.428618885,374457.27287024696,21661.453977420537,3100.5443442120145,0,415.0112647932739,43.13225569490726,415.0112647932739,43.13225569490726,0,0,0,12.409815184873917,3.217739214220707,0,73.49076688246801,8.164419827555948,73.49076688246801,8.164419827555948,0,0,0,0,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,179.2,39,4932175.192443173,372187.89534313494,7089.738032948385,1117.4280182910045,0,181.3622176726639,28.965489942904714,181.3622176726639,28.965489942904714,0,0,0,2.575507614222145,1.3389785025439656,0,30.770516991662923,4.170257331231988,30.770516991662923,4.170257331231988,0,0,0,0,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,102.2,28.6,2681615.0276952083,295029.24440823664,8687.46454114251,1983.624214224391,0,213.41637143790578,37.226173382535585,213.41637143790578,37.226173382535585,0,0,0,1.1638844435405653,0.8398060201548083,0,37.941059207961686,6.807962564277835,37.941059207961686,6.807962564277835,0,0,0,0,SCF,2022
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,480.6,78.2,22627405.510380115,715324.4999158481,5697.736717849935,699.9934665302238,0,129.07729361151257,14.389924249980293,129.07729361151257,14.389924249980293,0,0,0,3.626911771265611,1.7861346604259316,0,22.548849527918904,2.3887833533345537,22.548849527918904,2.3887833533345537,0,0,0,0,SCF,2022
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,113,44,3093829.4162202687,272046.974397546,31821.04325710371,4947.283545325165,0,826.7556143766511,99.56299827811733,1382.0465899432083,187.25129269036753,555.2909755665572,92.0635296099397,0,54.467076620914554,5.955405523889662,27.024018554203664,125.41078671387584,16.304928618326677,213.7951372027124,30.680311699452375,88.38435048883657,15.068307798030514,0,27.024018554203664,SCF,2022
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,194.8,36.2,4528349.023083432,325001.9179226426,10215.328992390896,2287.826833869663,0,317.20599866680936,46.848233523751325,428.0698070204471,79.6328978530485,110.8638083536377,36.65588528716281,0,20.953159900863906,6.464191504661415,6.339393494956048,60.26089459904985,10.224104193053485,82.80881581247448,17.43854137237953,22.547921213424623,7.8874352465676125,0,6.339393494956048,SCF,2022
