rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,11,5,138016.35628190002,48246.65750071172,67791.80748721324,44594.5755515853,0,703.0975913055862,310.44716547854586,1083.7770224607345,571.7713298940499,380.6794311551485,293.2604529280074,0,30.80106566817853,22.21230914484449,15.227177246205938,108.76581000369417,59.58106164631079,178.84144078933582,117.7141086633857,70.07563078564166,60.42202141058921,0,15.227177246205938,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,22,5,179152.7518589,42534.86061031267,56285.29130551595,33827.357409265926,0,557.2685457886133,283.3259535379584,990.02388222945,564.1091107333897,432.7553364408367,285.46489566704827,0,55.98602344696876,23.907438204510882,17.310213457633466,71.53727839034485,34.541227438153484,123.46791876324527,67.73830053430743,51.930640372900406,34.25578748004581,0,17.310213457633466,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,46,6,411926.57336970017,63533.491621929184,26116.596874389284,16169.049265294867,0,268.8060991629686,143.02024846830514,465.1365119557763,272.469719796355,196.33041279280764,135.46465663808692,0,44.97909296719385,22.532718598701443,7.853216511712306,32.256731899556236,17.162429816196617,55.816381434693156,32.6963663755626,23.559649535136916,16.255758796570426,0,7.853216511712306,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,294,37,2219679.057253399,139405.07705899372,8522.163286940531,2486.1801130922813,0,158.30703456476877,37.337926560824826,199.6237279051026,53.71099874636212,41.316693340333835,22.46735588949275,0,11.95396641898566,6.118835222061448,1.6526677336133535,19.924427461643603,4.588924026489121,24.88243066248367,6.517734907215977,4.958003200840061,2.6960827067391304,0,1.6526677336133535,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,7,2,92350.8786576,40875.609316280716,12487.490055668193,6291.874922139282,0,343.40597653087536,173.0265603588303,343.40597653087536,173.0265603588303,0,0,0,0,0,0,41.20871718370503,20.763187243059633,41.20871718370503,20.763187243059633,0,0,0,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,9,5,63105.793783500005,21973.152378985847,32915.97714924494,17884.571325016273,11500,595.9657572659665,320.6102631064734,595.9657572659665,320.6102631064734,0,0,0,28.103966878532155,22.030350256121544,0,124.46835670792238,70.26087168144284,124.46835670792238,70.26087168144284,0,0,0,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,17,2,117166.3044449,34699.16759662688,1107.685058777231,784.7273198845857,0,30.461339116373853,21.580001296826115,30.461339116373853,21.580001296826115,0,0,0,0,0,0,5.325759223984548,3.9206757807877697,5.325759223984548,3.9206757807877697,0,0,0,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,97,16,821443.1532370002,96613.96985288053,13433.27690060129,3828.0006767839527,0,303.4174443746019,81.91327342223244,303.4174443746019,81.91327342223244,0,0,0,28.250219330017813,10.323692641323703,0,44.28163760013042,12.828389166527922,44.28163760013042,12.828389166527922,0,0,0,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,11,5,138016.35628190002,48246.65750071172,67791.80748721324,44594.5755515853,0,987.0638701587128,389.5958818455212,1558.6110401368337,662.9832776705614,571.5471699781209,323.9496594004371,0,54.22833448057788,24.86305294833401,26.808957514590183,142.84176346606938,64.03571737383878,235.8215229104677,121.41281220731439,92.97975944439835,61.6612781957698,0,26.808957514590183,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,22,5,179152.7518589,42534.86061031267,56285.29130551595,33827.357409265926,0,671.442888423163,295.05413255828387,1173.3978814507211,571.0949084790144,501.9549930275581,285.29473031148814,0,81.95781433296196,17.724702703993362,25.34038271120461,91.17553955557786,39.215666528050185,152.34314929802707,70.42739181872712,61.16760974244923,34.181227219005365,0,25.34038271120461,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Other,46,6,411926.57336970017,63533.491621929184,26116.596874389284,16169.049265294867,0,319.2178313033307,155.7616838580982,571.8734318827408,296.22487078351696,252.65560057941005,142.52590782173544,0,65.39688066216061,19.37814237417975,11.41810181466182,38.30613975639968,18.691402062971786,68.62481182592887,35.546984494022055,30.318672069529203,17.103108938608262,0,11.41810181466182,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,White alone,294,37,2219679.057253399,139405.07705899372,8522.163286940531,2486.1801130922813,0,238.1612720644926,45.69942935428436,354.9411928210821,79.32092670834037,116.77992075658952,37.617285002944946,0,47.6561997809716,8.92585209147405,6.588596698712042,30.438202251948542,5.775902674740313,44.88660369646632,9.834401049855474,14.44840144451776,4.578933687086042,0,6.588596698712042,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Black alone,7,2,92350.8786576,40875.609316280716,12487.490055668193,6291.874922139282,0,849.1493237854373,427.8474947054714,849.1493237854373,427.8474947054714,0,0,0,0,0,0,101.89791885425247,51.341699364656556,101.89791885425247,51.341699364656556,0,0,0,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Hispanic,9,5,63105.793783500005,21973.152378985847,32915.97714924494,17884.571325016273,11500,827.1537309409232,365.280951334395,827.1537309409232,365.280951334395,0,0,0,39.442020802720265,23.56752531221977,0,165.54474907754366,76.44454556632145,165.54474907754366,76.44454556632145,0,0,0,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Other,17,2,117166.3044449,34699.16759662688,1107.685058777231,784.7273198845857,0,75.32258399685172,53.36145775215186,75.32258399685172,53.36145775215186,0,0,0,0,0,0,13.169150081125432,9.694761930675211,13.169150081125432,9.694761930675211,0,0,0,0,2022,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,White alone,97,16,821443.1532370002,96613.96985288053,13433.27690060129,3828.0006767839527,0,424.1456267691775,111.1917053351346,424.1456267691775,111.1917053351346,0,0,0,50.98204066800625,12.25150239937618,0,61.032608596294445,16.369727436626974,61.032608596294445,16.369727436626974,0,0,0,0,2022,SIPP
