rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,9,5,57579.3668878,19378.10489173534,63538.91003202702,47252.94986826129,0,689.3529739295485,305.6521746072742,929.1460500744249,501.73956192455375,239.79307614487638,244.05694036102904,0,20.43372915688351,19.39108813662808,9.591723045795057,82.72235687154581,36.67826095287291,111.49752600893098,60.208747430946445,28.775169137385166,29.286832843323474,0,9.591723045795057,2021,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,13,2,84995.2679757,25290.146150070548,2520.266134995215,1891.5910433648312,0,69.30731871236841,52.01875369253288,69.30731871236841,52.01875369253288,0,0,0,0,0,0,13.375086644808444,11.100634407146819,13.375086644808444,11.100634407146819,0,0,0,0,2021,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,36,7,229306.07541849997,39609.23044024574,21499.870971810073,13894.630410621328,0,241.59755052361862,127.12023500210887,375.00684357731654,212.19541497697298,133.40929305369784,98.49652586251672,0,26.816127137820615,18.57459976513815,5.336371722147914,28.991706062834233,15.254428200253066,45.000821229277975,25.46344979723675,16.009115166443742,11.819583103502008,0,5.336371722147914,2021,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,279,33,1608813.3544500002,107728.12567506533,7620.051636979222,1896.7638496309198,0,154.3270085276471,33.37375576824744,190.00210919863824,43.96270473388629,35.675100670991135,16.433085060934832,0,10.740115736648919,4.96139183266579,1.986229514953539,20.408200391638346,4.564080497985296,25.57656115776651,6.322231380892425,5.168360766128158,2.543975213684515,0,1.986229514953539,2021,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,8,1,78623.60918759998,31911.435588169297,2435.7342208503337,2020.4738323921222,0,66.98269107338419,55.56303039078334,66.98269107338419,55.56303039078334,0,0,0,0,0,0,8.037922928806102,6.667563646894001,8.037922928806102,6.667563646894001,0,0,0,0,2021,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,12,4,85953.85335139999,28417.825141441368,29515.27368602351,16661.30985556086,0,628.183629050242,345.1798469537054,628.183629050242,345.1798469537054,0,0,0,25.94907728662986,23.449553898950995,0,103.6107119960913,59.45184985125033,103.6107119960913,59.45184985125033,0,0,0,0,2021,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,17,2,108673.6975446,33566.97514031662,3383.933426573404,2997.651936191748,0,93.05816923076861,82.4354282452731,93.05816923076861,82.4354282452731,0,0,0,0,0,0,19.24080667183989,18.01414930673364,19.24080667183989,18.01414930673364,0,0,0,0,2021,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,113,16,656677.7191536,67378.39105174341,7038.21926106989,2901.7432453616852,0,168.19573241548449,65.456682084855,168.19573241548449,65.456682084855,0,0,0,30.710464388819748,14.390969335526435,0,27.825172743743874,12.037799848801388,27.825172743743874,12.037799848801388,0,0,0,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,9,5,57579.3668878,19378.10489173534,63538.91003202702,47252.94986826129,0,1065.4512559991088,419.8412943528809,1550.3215324988146,661.4280443780542,484.87027649970594,320.3909915118799,0,72.37124337668142,18.14378922518982,33.97152412168069,127.85415071989303,50.380955322345734,186.03858389985774,79.37136532536648,58.184433179964714,38.44691898142559,0,33.97152412168069,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,13,2,84995.2679757,25290.146150070548,2520.266134995215,1891.5910433648312,0,171.37809717967463,128.62819094880854,171.37809717967463,128.62819094880854,0,0,0,0,0,0,33.07294152170816,27.4488414431267,33.07294152170816,27.4488414431267,0,0,0,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Other,36,7,229306.07541849997,39609.23044024574,21499.870971810073,13894.630410621328,0,312.1595673610969,152.41006184276887,534.3386409421089,280.303963484402,222.179073581012,130.39790798435354,0,50.049587574535906,21.831727305149577,9.959797791278863,37.45914808333163,18.28920742113225,64.12063691305308,33.636475618128244,26.661488829721442,15.647748958122428,0,9.959797791278863,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,White alone,279,33,1608813.3544500002,107728.12567506533,7620.051636979222,1896.7638496309198,0,239.98897610715025,49.850800804727896,353.49616394890495,76.08243121868674,113.50718784175473,32.104042250859756,0,47.00046777285739,9.651513369597915,7.07451193839759,31.549655112863643,6.610236692220721,46.670947096882664,10.385704886203037,15.121291984019019,4.44317779999963,0,7.07451193839759,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Black alone,8,1,78623.60918759998,31911.435588169297,2435.7342208503337,2020.4738323921222,0,165.62992701782272,137.39222060266428,165.62992701782272,137.39222060266428,0,0,0,0,0,0,19.875591242138725,16.48706647231971,19.875591242138725,16.48706647231971,0,0,0,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Hispanic,12,4,85953.85335139999,28417.825141441368,29515.27368602351,16661.30985556086,0,678.7709546231638,344.1411148722726,678.7709546231638,344.1411148722726,0,0,0,56.214015303614005,26.939104810983338,0,109.68119106484191,58.91129756093445,109.68119106484191,58.91129756093445,0,0,0,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Other,17,2,108673.6975446,33566.97514031662,3383.933426573404,2997.651936191748,0,230.1074730069915,203.84033166103885,230.1074730069915,203.84033166103885,0,0,0,0,0,0,47.577267406731366,44.54407828574137,47.577267406731366,44.54407828574137,0,0,0,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,White alone,113,16,656677.7191536,67378.39105174341,7038.21926106989,2901.7432453616852,0,242.09417111788068,79.89430383347946,242.09417111788068,79.89430383347946,0,0,0,61.373168319333146,13.60400578817764,0,37.034998041064235,13.309273056893087,37.034998041064235,13.309273056893087,0,0,0,0,2021,SIPP
