rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,13,2,84995.2679757,25290.146150070548,15881.830466644002,5964.730806298874,1079.9644717317922,405.60169482832345,1079.9644717317922,405.60169482832345,1079.9644717317922,405.60169482832345,208.41404127425508,108.3195114423876,100,0,100,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,9,5,57579.3668878,19378.10489173534,135360.1300120118,87013.37361585676,9204.4888408168,5916.909405878257,2269.7843016319634,167.57501161475406,2269.7843016319634,167.57501161475406,272.3741161958356,20.109001393770487,100,0,100,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Married household,36,7,229306.07541849997,39609.23044024574,108040.31342755423,59749.8308562885,7346.741313073688,4062.9884982276176,1568.6520882531256,432.1847836108884,1568.6520882531256,432.1847836108884,188.2382505903751,51.862174033306616,100,0,100,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Married household,279,33,1608813.3544500002,107728.12567506533,54302.36215228264,10240.73902606217,3692.5606263552204,696.3702537722276,1738.1323043515397,164.45931198308236,1710.2204701452886,164.70487542164517,224.83060211879362,21.87460341907374,100,0,93.32845830192049,4.013758086591458,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Unmarried household,12,4,85953.85335139999,28417.825141441368,67829.43912918215,32210.31197467563,4612.401860784387,2190.301214277944,1559.89246920216,583.4930221273745,1559.89246920216,583.4930221273745,252.05978952083385,111.53158989079569,100,0,100,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Unmarried household,8,1,78623.60918759998,31911.435588169297,15000,1.7884159756252757e-12,1020.0000000000001,1.2102888090848343e-13,1020.0000000000001,1.2102888090848343e-13,1020.0000000000001,1.2102888090848343e-13,122.4,1.501695832847584e-14,100,0,100,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Unmarried household,17,2,108673.6975446,33566.97514031662,25572.73408974656,4807.459084017886,1738.9459181027662,326.90721771321626,1738.9459181027662,326.90721771321626,1738.9459181027662,326.90721771321626,359.5463192492906,96.91837513380061,100,0,100,0,2021,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Unmarried household,113,16,656677.7191536,67378.39105174341,56097.98986060719,12914.741223011382,3814.6633105212886,878.2024031647742,1929.6068867593797,230.07518257839615,1929.6068867593797,230.07518257839615,295.18673225866667,47.48893729723442,100,0,100,0,2021,SIPP
