rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,21,10,248338.16633729998,57169.26680415165,97208.04680630802,32710.22684268793,1211.0646540479793,376.1117446491654,1101.1635429358048,332.79693629509256,1101.1635429358048,332.79693629509256,187.6487071854019,65.95694381662675,100,0,100,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,11,3,189849.34061460002,62094.55034763825,207768.713050941,98267.68832570655,612.6420508535119,258.772618282785,612.6420508535119,258.772618282785,612.6420508535119,258.772618282785,99.40676836852775,57.537600831060395,100,0,100,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,35,3,327951.7115868,58012.39230131324,85713.81261865681,51269.318991010536,600.5257909621696,162.5137499809164,600.5257909621696,162.5137499809164,600.5257909621696,162.5137499809164,72.06309491546035,19.50164999770996,100,0,100,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,305,43,2554435.9812699975,158246.93298561542,47957.334289150196,12092.324440957453,555.7326429728117,84.72243004514308,532.1272424497272,69.77584838747588,530.2402821226983,69.72413637452016,70.03812813660812,9.643326691242105,100,0,98.37431910621952,1.5153857227904222,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,8,2,120735.06415680001,49238.623195753855,76349.13868385204,41431.50303923554,1698.0578643508406,868.188139338694,1526.1202348047057,752.0718486469929,1526.1202348047057,752.0718486469929,335.7464516570352,165.45580670233844,100,0,100,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,10,1,122745.4076142,49854.11205593633,35000,9.393220889147818e-13,441.3,5.3926402077338126e-14,441.3,5.3926402077338126e-14,441.3,5.3926402077338126e-14,52.955999999999996,5.5797589905588756e-15,100,0,100,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,11,2,120039.95481880002,35066.13176133397,111851.05010077011,70848.55041466163,1090.8850685672815,325.44525938321084,1090.8850685672815,325.44525938321084,1090.8850685672815,325.44525938321084,239.9947150848019,71.59795706430633,100,0,100,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,129,19,1028004.3437218999,104991.69020957404,77219.70209222182,17268.723762564157,1232.9327246824057,257.314759315784,1125.1248913823865,183.35010340211244,1125.1248913823865,183.35010340211244,221.2915854196251,42.337456967550615,100,0,100,0,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,21,10,248338.16633729998,57169.26680415165,97208.04680630802,32710.22684268793,2036.8582693147537,750.8503700064392,1245.0073424402417,334.90054921813265,1245.0073424402417,334.90054921813265,211.86946839699706,68.3391380877084,100,0,100,0,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,11,3,189849.34061460002,62094.55034763825,207768.713050941,98267.68832570655,993.927051499805,659.2422749514755,689.9749874925309,334.4453957010352,689.9749874925309,334.4453957010352,116.42001442911189,75.98627818957384,100,0,100,0,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Married household,35,3,327951.7115868,58012.39230131324,85713.81261865681,51269.318991010536,964.1415304024468,285.6764076597537,964.1415304024468,285.6764076597537,964.1415304024468,285.6764076597537,115.69698364829362,34.28116891917042,100,0,100,0,2024,SIPP
