rate_scenario_id,rate_scenario,annual_interest_rate,household_group,black_nonblack,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,source,year
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black,125.2,48.4,3465611.338912512,225444.23635460433,26733.57041425241,4691.1274707078965,0,460.0460954833004,58.142436126145334,589.5185015108285,89.75425429838195,129.4724060275281,37.74611834108151,0,21.95933909147577,4.6319651338462,10.908321164310546,82.98994839135025,11.242885296763605,106.32930801522343,17.31606208190373,23.33935962387316,7.283766208110129,0,10.908321164310546,SCF,2019
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Non-Black,1380,307.6,35737117.16190369,727127.7629045281,10018.09699450161,698.5957445392631,0,215.0461404650435,12.13260684670735,252.34276289703263,16.36816088880006,37.2966224319891,6.548094654308017,0,12.369462484110763,1.6285344813421472,3.123853532150476,38.22629361351267,2.2003197458662016,45.82426280954188,3.2323774371804275,7.597969196029205,1.399282893747055,0,3.123853532150476,SCF,2019
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black,258.2,99.6,7294015.812067228,436526.88597962883,15179.450887940033,1395.8354228719124,0,361.1513727844285,29.639827370600138,361.1513727844285,29.639827370600138,0,0,0,6.01380564886204,1.806196772404055,0,62.58351678432609,5.748092716778386,62.58351678432609,5.748092716778386,0,0,0,0,SCF,2019
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Non-Black,980.6,190.8,27364811.364434894,566935.3200840546,8678.330033124183,809.6767248397715,0,173.19720893408464,13.146570808826489,173.19720893408464,13.146570808826489,0,0,0,13.388076861425958,1.8072538998396235,0,31.745927898059737,2.36776452368823,31.745927898059737,2.36776452368823,0,0,0,0,SCF,2019
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black,125.2,48.4,3465611.338912512,225444.23635460433,26733.57041425241,4691.1274707078965,0,642.755662313173,66.90876366769682,1006.8887850169609,119.64985847381325,364.1331227037878,59.06268870855134,0,39.903544963628846,6.0405493399528325,19.46083688356647,112.25072309419028,12.611633053338164,180.0466369297136,22.845706391802153,67.79591383552331,11.415181859384123,0,19.46083688356647,SCF,2019
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Non-Black,1380,307.6,35737117.16190369,727127.7629045281,10018.09699450161,698.5957445392631,0,348.8585431243828,16.52167819541865,492.4114324079867,26.844421792667074,143.55288928360395,12.067736283205567,0,35.423179620283776,2.4239523249227855,9.001778867280692,61.70452479622879,2.9693172778519603,87.00664898911452,4.767798912321415,25.30212419288572,2.160370152303085,0,9.001778867280692,SCF,2019
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Black,258.2,99.6,7294015.812067228,436526.88597962883,15179.450887940033,1395.8354228719124,0,578.1678991943252,43.447343711927466,578.1678991943252,43.447343711927466,0,0,0,39.46881134426257,3.597370021474375,0,99.51768404050415,7.984909786999394,99.51768404050415,7.984909786999394,0,0,0,0,SCF,2019
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Non-Black,980.6,190.8,27364811.364434894,566935.3200840546,8678.330033124183,809.6767248397715,0,278.2044633729869,18.120472989783558,278.2044633729869,18.120472989783558,0,0,0,31.950734882887488,2.842057879350611,0,51.505184595779625,3.4066333074197104,51.505184595779625,3.4066333074197104,0,0,0,0,SCF,2019
