source,year,rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,169,41.2,4197026.085437779,303669.3654764687,34170.85277941516,4442.771279812182,939.698451433917,122.17621019483495,838.382878894211,96.60142499341472,831.4431746340592,97.62149342407032,147.7808171902345,20.687754036444204,100,0,98.23179556894654,2.112918859216124
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,113.6,42.4,3126211.066871209,213204.89584973105,71188.6654862399,10750.897762395472,1957.6883008715972,295.6496884658756,1275.9337748342248,108.70724320027098,1206.4379879063936,118.49341692777024,219.92878950512298,23.60722005416035,100,0,89.42208075749312,2.5340021886140573
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,112.6,19,2940085.21158805,252651.13193705154,26289.31289661855,4968.958042119212,722.9561046570102,136.64634615827836,663.5418143042173,112.24517491088619,661.9061013264642,111.65011548940667,107.21653199074541,21.57002780211718,100,0,98.03714442669633,2.2432853328493794
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,1110,253.4,28939406.136919137,618618.3421971932,45092.08204162929,2942.6311213759373,1240.0322561448058,80.92235583783837,989.3420199987214,44.49236259567026,946.2401746993945,42.50805187265591,168.6655889032498,8.105518706088906,100,0,91.52954481175374,1.3080407767152349
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,155,36.8,4289937.073434681,222957.60486376774,39530.26271779458,7956.0903042017335,1087.0822247393512,218.79248336554767,732.5729528348105,96.82485211307822,718.8105579222917,98.22618513459817,130.04484209921188,16.803410757562247,100,0,87.22959836781546,4.210535064682071
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,237.8,92,6685918.624015565,405047.8779853335,42243.99245926847,3263.4974309350437,1161.7097926298834,89.74617935071358,1032.9902326171032,60.26865968789196,997.0672196972247,58.68970355187341,174.7814386199893,13.536094139069085,100,0,92.77252643097377,1.9568881768479103
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,79.6,21,2358018.171460569,215228.27679655026,67989.55902770715,21115.756611534118,1869.7128732619465,580.6833068171882,1023.6790677759965,162.12537239779795,1011.4301226184919,161.13571698156284,181.7630839332591,32.183038939283676,100,0,95.41156641881936,3.001776764384868
SCF,2019,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,766.4,140.6,21324953.307591308,512650.7285551935,41716.07098421872,3047.5065028486215,1147.191952066015,83.80642882833713,969.8443895633862,57.95192640345759,924.4720970821836,57.07791458405056,168.8764663186551,10.404055144467982,100,0,92.55564266218384,1.8021751451339731
