source,year,rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,169,41.2,4197026.085437779,303669.3654764687,34170.85277941516,4442.771279812182,2323.617989000231,302.1084470272283,1458.2701911764125,98.28865488538291,1441.1101951876738,100.90975755251662,248.39003118018164,20.91242778043483,100,0,98.23179556894654,2.112918859216124
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,113.6,42.4,3126211.066871209,213204.89584973105,71188.6654862399,10750.897762395472,4840.829253064313,731.0610478428923,1719.1239290606943,115.89001394586879,1632.7105687250853,130.62174453062562,290.11539281242074,26.748324878495794,100,0,89.42208075749312,2.5340021886140573
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Married household,112.6,19,2940085.21158805,252651.13193705154,26289.31289661855,4968.958042119212,1787.6732769700616,337.8891468641066,1197.041646179099,146.69002037776755,1195.4059332013458,146.43891497184597,184.0586728548921,24.687420066941268,100,0,98.03714442669633,2.2432853328493794
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Married household,1110,253.4,28939406.136919137,618618.3421971932,45092.08204162929,2942.6311213759373,3066.261578830793,200.09891625356371,1578.220111800819,47.43277272245814,1518.0096346988137,46.049883104743834,270.8182904460451,8.79364826688933,100,0,91.52954481175374,1.3080407767152349
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Unmarried household,155,36.8,4289937.073434681,222957.60486376774,39530.26271779458,7956.0903042017335,2688.057864810032,541.0141406857177,1242.394955430311,118.10470683166552,1208.3643061920825,118.7709873665759,221.73638774643044,21.3446177560445,100,0,87.22959836781546,4.210535064682071
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Unmarried household,237.8,92,6685918.624015565,405047.8779853335,42243.99245926847,3263.4974309350437,2872.5914872302565,221.91782530358276,1644.485105054693,66.15825439664553,1590.7199267422527,66.58531897211311,276.1734830438377,15.742337780412637,100,0,92.77252643097377,1.9568881768479103
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Unmarried household,79.6,21,2358018.171460569,215228.27679655026,67989.55902770715,21115.756611534118,4623.290013884087,1435.8714495843194,1563.3118349678944,157.40131193128886,1548.017056363959,156.35109544136927,277.3691376648463,30.411653885406288,100,0,95.41156641881936,3.001776764384868
SCF,2019,R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Unmarried household,766.4,140.6,21324953.307591308,512650.7285551935,41716.07098421872,3047.5065028486215,2836.692826926873,207.23044219370618,1562.8227901509756,62.98429964707848,1486.1891869341807,63.09561696639244,274.9310185560044,12.468700139780845,100,0,92.55564266218384,1.8021751451339731
