rate_scenario_id,rate_scenario,annual_interest_rate,household_group,black_nonblack,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black,11,3,189849.34061460002,62094.55034763825,34540.5490227376,30396.253853920076,0,101.84879369064558,69.4647217932273,101.84879369064558,69.4647217932273,0,0,0,0,0,0,16.525897020805093,11.873943092221406,16.525897020805093,11.873943092221406,0,0,0,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Non-Black,361,56,3130725.859194096,176301.58580659286,10200.62458054757,2606.9575321714733,0,110.46723788097873,23.567031967273472,117.48885407587984,25.95220704581957,7.021616194901151,4.097121379116949,0,6.385009984176623,3.416497817588326,1.0554627303811908,16.15802368437626,3.910490550558165,17.13798965783036,4.237757547623341,0.9799659734541012,0.5382784870171112,0,1.0554627303811908,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black,10,1,122745.4076142,49854.11205593633,1685.3291773179815,1825.4717565948129,0,21.249593312869294,23.016591033865453,21.249593312869294,23.016591033865453,0,0,0,0,0,0,2.549951197544315,2.7619909240638547,2.549951197544315,2.7619909240638547,0,0,0,0,2024,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Non-Black,148,23,1268779.3626974996,120304.9500495754,11677.951827788853,3616.9464644089185,0,168.06295492795044,51.77402754232956,168.06295492795044,51.77402754232956,0,0,0,14.51172423377919,8.485442673393182,0,33.65612054369716,10.769393239042945,33.65612054369716,10.769393239042945,0,0,0,0,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black,11,3,189849.34061460002,62094.55034763825,34540.5490227376,30396.253853920076,0,114.70502237796187,79.20087721510703,165.2355907837615,124.74550950290792,50.530568405799634,53.568135708721606,0,13.449206372003278,15.111332642226554,2.2358658586637,19.354267332014672,14.513828461925195,30.470992381290593,25.664567906655876,11.116725049275919,11.784989855918756,0,2.2358658586637,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Non-Black,361,56,3130725.859194096,176301.58580659286,10200.62458054757,2606.9575321714733,0,160.43912528399792,28.705777135852966,188.74067253605978,39.28377448488025,28.301547252061898,14.473745097175014,0,9.99953484830909,4.338499339267789,1.6529553406640731,23.11054214383248,4.485846184401954,28.63362319280124,7.077165662867616,5.523081048968773,3.0417274974977326,0,1.6529553406640731,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Black,10,1,122745.4076142,49854.11205593633,1685.3291773179815,1825.4717565948129,0,21.249593312869294,23.016591033865453,21.249593312869294,23.016591033865453,0,0,0,0,0,0,2.549951197544315,2.7619909240638547,2.549951197544315,2.7619909240638547,0,0,0,0,2024,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Unmarried household,Non-Black,148,23,1268779.3626974996,120304.9500495754,11677.951827788853,3616.9464644089185,0,211.63575795807006,64.36242413291247,211.63575795807006,64.36242413291247,0,0,0,26.92358213361449,10.812762145776777,0,42.997412545956166,13.665993634452779,42.997412545956166,13.665993634452779,0,0,0,0,2024,SIPP
