source,year,household_group,race,black_nonblack,percent_with_student_debt,se_percent_with_student_debt,lower_95_percent_with_student_debt,upper_95_percent_with_student_debt,median_student_debt_positive,se_median_student_debt_positive,lower_95_median_student_debt_positive,upper_95_median_student_debt_positive,mean_student_debt_positive,se_mean_student_debt_positive,lower_95_mean_student_debt_positive,upper_95_mean_student_debt_positive,unweighted_n,weighted_denominator
SIPP,2018,Married household,Black alone,,54.44720424891988,16.94524473503497,21.234524568251345,87.65988392958842,62000,93323.50473701682,0,244914.06928455297,88404.85784763032,46460.51934687134,0,179467.47576749814,10,55339.205820100004
SIPP,2018,Married household,Hispanic,,44.1329251288911,13.009100916448888,18.63508733265128,69.63076292513092,18000,12273.793219701887,0,42056.6347106157,20219.99785608831,5142.731282281502,10140.244542816567,30299.751169360054,15,80081.5653263
SIPP,2018,Married household,Other,,17.454570560890218,7.192631157905477,3.3570134913954846,31.552127630384952,55000,17224.014243685084,21240.932082377236,88759.06791762277,58655.860269978795,13189.410930568994,32804.61484606357,84507.10569389403,32,189685.45812170004
SIPP,2018,Married household,White alone,,16.820681143037824,2.3533491045406887,12.208116898138073,21.433245387937575,18000,3995.8311609309353,10168.170924575366,25831.829075424634,40343.286047774694,10749.47274654081,19274.319464554705,61412.252630994684,234,1288856.0695422993
SIPP,2018,Unmarried household,Black alone,,39.13689090794869,14.819127602679849,10.091400806696186,68.1823810092012,25000,94841.36579924746,0,210889.07696652503,70342.01622864048,41817.59422496471,0,152304.5009095713,14,87342.0763195
SIPP,2018,Unmarried household,Hispanic,,52.21313069964455,15.779458908640336,21.285391238709494,83.14087016057961,20000,17530.280089034517,0,54359.34897450765,25279.967866378687,11926.91485259999,1903.2147552827082,48656.720977474666,12,79984.66979759999
SIPP,2018,Unmarried household,Other,,37.749699804203274,15.876907193336736,6.630961705263271,68.86843790314327,7000,3774.917217635375,0,14398.837746565336,28027.088526657753,23474.287889503354,0,74036.69279008433,11,67498.06116699999
SIPP,2018,Unmarried household,White alone,,16.112638157591363,3.043857435305453,10.146677584392675,22.07859873079005,35000,15625.299997120055,4374.412005644692,65625.5879943553,71078.01242409447,22083.079030024706,27795.17752524605,114360.8473229429,119,659673.1721231
SIPP,2019,Married household,Black alone,,0,0,0,0,,0,,,,0,,,3,21426.2706954
SIPP,2019,Married household,Hispanic,,19.69149489913146,13.42836921938302,0,46.01109856912218,17500,144139.5302013527,0,300013.4791946513,67715.45683458049,34481.85378113312,131.0234235595708,135299.89024560142,9,77740.7902316
