rate_scenario_id,rate_scenario,annual_interest_rate,household_group,race,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,median_student_debt,mean_allowable_deduction_baseline,SE: mean allowable deduction baseline,mean_allowable_deduction_proposed,SE: mean allowable deduction proposed,mean_deduction_gain,SE: mean deduction gain,median_deduction_gain,pct_borrowers_at_2500_limit_baseline,SE: % borrowers at $2500 limit baseline,pct_households_with_positive_deduction_gain,mean_tax_savings_baseline,SE: mean tax savings baseline,mean_tax_savings_proposed,SE: mean tax savings proposed,mean_tax_savings_gain,SE: mean tax savings gain,median_tax_savings_gain,pct_households_with_positive_tax_savings_gain,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Black alone,7,2,64553.34334110001,30015.89880611695,17715.256118313282,12497.900184101458,0,487.16954325361525,343.69225506279,487.16954325361525,343.69225506279,0,0,0,0,0,0,58.460345190433834,41.24307060753479,58.460345190433834,41.24307060753479,0,0,0,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Hispanic,20,7,207231.95493170002,55315.7878689735,60002.784826477604,30106.497320721737,0,708.4657816710672,295.1840628816275,1226.9739320328881,586.4681241728053,518.5081503618209,298.4167540040864,0,47.194095140026434,20.452889353144073,20.740326014472835,85.01589380052809,35.422087545795286,147.23687184394657,70.37617490073667,62.220978043418505,35.81001048049037,0,20.740326014472835,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,Other,33,6,343965.27271070005,64107.23378141114,13699.328014923807,7991.450697466163,0,167.57700671089992,87.18750376112843,298.62620075820865,169.78201060116518,131.04919404730873,84.68077983526591,0,48.41330532614996,23.067755918811795,5.241967761892349,20.10924080530799,10.462500451335409,35.83514409098504,20.373841272139813,15.725903285677049,10.161693580231908,0,5.241967761892349,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Married household,White alone,252,37,1869423.167445329,139727.36770688946,9322.85321953012,2811.899658012772,0,160.34164252179033,36.86166907169241,211.87349962793888,55.75831376385277,51.53185710614852,24.464957063409216,0,15.076540869929556,6.198441865582455,2.278495738437224,19.308439058773263,4.424336355415779,25.492261911511086,6.691549907519838,6.183822852737822,2.9357948476091074,0,2.278495738437224,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Black alone,6,1,73622.242022,40034.5222007581,7053.0187384789715,4357.944083838812,0,193.95801530817172,119.84346230556736,193.95801530817172,119.84346230556736,0,0,0,0,0,0,23.274961836980605,14.381215476668073,23.274961836980605,14.381215476668073,0,0,0,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Hispanic,12,2,112697.8099987,42992.28729284068,3808.6196096565786,2750.8195016714244,0,104.7370392655559,75.64753629596413,104.7370392655559,75.64753629596413,0,0,0,0,0,0,12.568444711866707,9.077704355515696,12.568444711866707,9.077704355515696,0,0,0,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,Other,18,1,166966.25011670002,41206.697510001606,61.951770709171626,61.90475160822792,0,1.7036736945022197,1.7023806692262662,1.7036736945022197,1.7023806692262662,0,0,0,0,0,0,0.20444084334026638,0.20428568030715208,0.20444084334026638,0.20428568030715208,0,0,0,0,2023,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Unmarried household,White alone,120,15,880560.9513369995,91628.0738731183,13901.362028672842,5576.14170629642,0,218.72932735742708,67.43756029404841,218.72932735742708,67.43756029404841,0,0,0,48.17307296798955,14.573805267843522,0,38.15804629743517,12.704394548708184,38.15804629743517,12.704394548708184,0,0,0,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Black alone,7,2,64553.34334110001,30015.89880611695,17715.256118313282,12497.900184101458,0,820.9385724799697,542.267022464509,1204.637416045303,849.8572125188988,383.6988435653337,311.88864376092374,0,64.76162609994421,32.460282580677614,27.885090375387612,98.51262869759636,65.07204269574105,144.5564899254364,101.98286550226786,46.04386122784004,37.42663725131083,0,27.885090375387612,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Married household,Hispanic,20,7,207231.95493170002,55315.7878689735,60002.784826477604,30106.497320721737,0,896.456921776034,314.69510566608216,1506.7297163246874,597.1360046110049,610.2727945486537,296.623760170068,0,71.72985637668862,17.710218260879873,31.523024264153772,107.57483061312408,37.76341267992987,180.80756595896253,71.6563205533206,73.23273534583842,35.59485122040816,0,31.523024264153772,2023,SIPP
