rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Married household,20,7,207231.95493170002,55315.7878689735,136534.84201700942,47352.08680211328,9284.36925715664,3219.9419025437046,2039.8653919765177,330.5944238581778,2039.8653919765177,330.5944238581778,244.78384703718208,39.671330862981335,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Married household,7,2,64553.34334110001,30015.89880611695,41142.73174497489,14607.127161304928,2797.705758658293,993.2846469687349,1906.5857835230604,546.631158658611,1906.5857835230604,546.631158658611,228.79029402276726,65.59573903903333,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Married household,33,6,343965.27271070005,64107.23378141114,126523.05013607339,48931.71141625674,8603.56740925299,3327.356376305457,2034.8517929139173,346.9590095085035,2034.8517929139173,346.9590095085035,244.18221514967013,41.63508114102045,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Married household,252,37,1869423.167445329,139727.36770688946,61688.23369623901,15243.184238168258,4194.7998913442525,1036.5365281954412,1619.4925508925246,165.78513177779726,1619.4925508925246,165.78513177779726,195.44257441899768,19.745995638746972,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Hispanic,Hispanic,Unmarried household,12,2,112697.8099987,42992.28729284068,19757.431267021893,2058.3891850406994,1343.5053261574885,139.9704645827675,1343.5053261574885,139.9704645827675,1343.5053261574885,139.9704645827675,161.22063913889863,16.796455749932104,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Black alone,Unmarried household,6,1,73622.242022,40034.5222007581,35000,0,2380,5.870763055717387e-14,2380,5.870763055717387e-14,2380,5.870763055717387e-14,285.59999999999997,1.0378140918593053e-14,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,Other,Unmarried household,18,1,166966.25011670002,41206.697510001606,1999.9999999999998,4.832247859453697e-13,136,3.6692269098233666e-15,136,3.6692269098233666e-15,136,3.6692269098233666e-15,16.32,4.586533637279208e-16,100,0,100,0,2023,SIPP
R680,Estimated interest at 6.8% annual rate,0.068,Non-Hispanic,White alone,Unmarried household,120,15,880560.9513369995,91628.0738731183,103230.64569690147,30168.34239929079,7019.683907389301,2051.4472831517733,1972.8446439260465,194.06911853272487,1948.704575238072,192.4634282226527,340.4894333629135,45.84276879713032,100,0,95.84150410198544,4.4698456634666295,2023,SIPP
